Id;Group;Species;PM name;Project;Playlist;Link;Observer;#Present;#Absent;Obs;Filters used;Verified T and G
76;Bird;Thamnomanes ardesiacus;Thamnomanes_ardesiacus_common song_RFCx2023;BDFFP Acoustics;All_diurnal_RFCx;https://arbimon.rfcx.org/project/bdffp-acoustics/analysis/patternmatching/33969;Gabriel;132;1174;;Score, 200 Top Scores per Site, Best per Site, Day;ok
77;Bird;Myrmotherula menetriesii;Myrmotherula_menetriesii_common song_RFCx2023;BDFFP Acoustics;All_diurnal_RFCx;https://arbimon.rfcx.org/project/bdffp-acoustics/analysis/patternmatching/33971;Tomaz;166;1123;;Score, 200 Top Scores per Site, Best per Site, Day;ok
78;Bird;Glyphorynchus spirurus;Glyphorynchus_spirurus_common song_RFCx2023;BDFFP Acoustics;All_diurnal_RFCx;https://arbimon.rfcx.org/project/bdffp-acoustics/analysis/patternmatching/33982;Gabriel;34;1266;;Score, 200 Top Scores per Site, Best per Site, Day;ok
79;Bird;Cymbilaimus lineatus;Cymbilaimus_lineatus_common song_RFCx2023;BDFFP Acoustics;All_diurnal_RFCx;https://arbimon.rfcx.org/project/bdffp-acoustics/analysis/patternmatching/33983;Gabriel;52;1270;;Score, 200 Top Scores per Site, Best per Site, Day;ok
80;Bird;Cyclarhis gujanensis;Cyclarhis_gujanensis_common song_RFCx2023;BDFFP Acoustics;All_diurnal_RFCx;https://arbimon.rfcx.org/project/bdffp-acoustics/analysis/patternmatching/33993;Gabriel;417;1196;The song have vatiation, but keep the same general pattern;Score, 200 Top Scores per Site, Best per Site, Day;ok
81;Bird;Pachysylvia muscicapina;Pachysylvia_muscicapina_common song_RFCx2023;BDFFP Acoustics;All_diurnal_RFCx;https://arbimon.rfcx.org/project/bdffp-acoustics/analysis/patternmatching/33994;Tomaz;578;1099;;Score, 200 Top Scores per Site, Best per Site, Day;ok
82;Bird;Automolus ochrolaemus;Automolus_ochrolaemus_common song_RFCx2023;BDFFP Acoustics;All_diurnal_RFCx;https://arbimon.rfcx.org/project/bdffp-acoustics/analysis/patternmatching/33995;Gabriel;177;1165;;Score, 200 Top Scores per Site, Best per Site, Day;ok
83;Bird;Automolus infuscatus;Automolus_infuscatus_common song_RFCx2023;BDFFP Acoustics;All_diurnal_RFCx;https://arbimon.rfcx.org/project/bdffp-acoustics/analysis/patternmatching/33999;Gabriel;130;1132;;Score, 200 Top Scores per Site, Best per Site, Day;ok
84;Bird;Rhytipterna simplex;Rhytipterna_simplex_common song_RFCx2023;BDFFP Acoustics;All_diurnal_RFCx;https://arbimon.rfcx.org/project/bdffp-acoustics/analysis/patternmatching/34003;Tomaz;364;1776;;Score, 200 Top Scores per Site, Best per Site, Day;ok
85;Bird;Sirystes subcanescens;Sirystes_subcanescens_common song_RFCx2023;BDFFP Acoustics;All_diurnal_RFCx;https://arbimon.rfcx.org/project/bdffp-acoustics/analysis/patternmatching/34004;Gabriel;55;1206;The number of notes change;Score, 200 Top Scores per Site, Best per Site, Day;ok
86;Bird;Micrastur semitorquatus;Micrastur_semitorquatus_common song_RFCx2023;BDFFP Acoustics;All_diurnal_RFCx;https://arbimon.rfcx.org/project/bdffp-acoustics/analysis/patternmatching/34005;Gabriel;115;1121;;Score, 200 Top Scores per Site, Best per Site, Day;ok
87;Bird;Myiarchus ferox;Myiarchus_ferox_common song_RFCx2023;BDFFP Acoustics;All_diurnal_RFCx;https://arbimon.rfcx.org/project/bdffp-acoustics/analysis/patternmatching/34015;Tomaz;205;2996;;Score, 200 Top Scores per Site, Best per Site, Day;ok
